feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,target_GDP,target_country_code,target_year,target_quarter,sample_id
0.64412963,0.5880826,0.33400565,0.3765248,0.6856183,0.7027091,0.77860564,0.48705348,0.0011928015,0.00365871,0.43107238,0.6098083,0.711902,0.4307255,0.764695,0.4810759,0.4987035,0.11048445,0.06855955,0.1846473,0.17460804,0.05417755,0.019687263,0.0,2017.0,2.0,7.0,0.0,2017.0,2.0,17
0.61832553,0.56920356,0.3681054,0.399446,0.68416035,0.635807,0.7664913,0.48681948,0.0029376496,0.0019534351,0.42932945,0.5909535,0.72588676,0.42898214,0.7745689,0.52968687,0.49447992,0.11896129,0.06855955,0.1846473,0.21482396,0.06661489,0.020617843,0.0,2017.0,3.0,6.9,0.0,2017.0,3.0,18
0.6631005,0.5633038,0.3608228,0.38267574,0.7038935,0.7830585,0.69681656,0.48739764,0.00049871864,0.0025025131,0.43368322,0.7007074,0.7550484,0.4333365,0.7544038,0.5399639,0.4913122,0.12743813,0.066481985,0.1846473,0.25958917,0.08045897,0.023527967,0.0,2017.0,4.0,6.8,0.0,2017.0,4.0,19
0.7714301,0.57291585,0.36698386,0.36573264,0.6724425,0.6700834,0.8784024,0.48601973,0.000660573,0.0069512445,0.43080568,0.72679764,0.8303244,0.43045878,0.84220284,0.56490296,0.4915762,0.142979,0.06606647,0.1846473,0.24593641,0.07629832,0.024551338,0.0,2018.0,1.0,6.9,0.0,2018.0,1.0,20
0.69181955,0.5786431,0.30065605,0.34756902,0.68112236,0.6665694,0.8586783,0.48254338,0.0006952942,0.018382812,0.4341839,0.66239977,0.70365584,0.43383723,0.85689783,0.61416775,0.48418486,0.12885094,0.0635734,0.1846473,0.1761323,0.029397137,0.014765964,0.0,2018.0,2.0,6.9,0.0,2018.0,2.0,21
0.6942566,0.55622417,0.19385591,0.3670283,0.6832609,0.69299215,0.80555546,0.47783858,0.00056292384,0.029505664,0.43691054,0.629705,0.625061,0.43656403,0.855878,0.5441809,0.48444885,0.14863023,0.063157886,0.1846473,0.1918834,0.05955672,0.023237446,0.0,2018.0,3.0,6.7,0.0,2018.0,3.0,22
0.59190017,0.5456047,0.13506013,0.38063315,0.68459326,0.5415505,0.6322369,0.46297446,0.006418159,0.12795761,0.4328308,0.54420555,0.60854447,0.43248406,0.64059895,0.52162653,0.4788019,0.1443918,0.06232686,0.1846473,0.25565043,0.079343095,0.026865479,0.0,2018.0,4.0,6.5,0.0,2018.0,4.0,23
0.5394795,0.5651737,0.18094738,0.38283542,0.69335103,0.5528048,0.45499715,0.4866218,0.0022045178,0.005207983,0.43366617,0.5391143,0.589386,0.43331942,0.5115891,0.52824146,0.48009324,0.12885094,0.0569252,0.1846473,0.2429651,0.07569912,0.02579681,0.0,2019.0,1.0,6.3,0.0,2019.0,1.0,24
0.51243293,0.5420649,0.2506474,0.3845142,0.72586155,0.49805853,0.49213555,0.4859457,0.0010879543,0.008640151,0.432096,0.56674194,0.64281356,0.4317492,0.5199796,0.4999238,0.48075318,0.16275829,0.054432124,0.1846473,0.19082344,0.059325077,0.023586094,0.0,2019.0,2.0,6.0,0.0,2019.0,2.0,25
0.52351916,0.5220059,0.28092077,0.38582373,0.68952036,0.49275512,0.5057761,0.48577237,0.0010919644,0.01050474,0.43294394,0.55055034,0.61276895,0.43259716,0.48229185,0.52128786,0.47362584,0.17264794,0.054432124,0.18118949,0.2125545,0.066050656,0.027632635,0.0,2019.0,3.0,5.9,0.0,2019.0,3.0,26
